model_name,hpo_type,accuracy,accuracy,precision,precision,recall,recall,f1,f1,roc_auc,roc_auc,cohen_kappa,cohen_kappa,TPR,TPR,TNR,TNR,PPV,PPV,NPV,NPV,FPR,FPR,FNR,FNR,FDR,FDR,FOR,FOR,MCC,MCC
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
AdaBoostClassifier,pfs_bayes,0.7935453251067869,0.0,0.6442786069651741,0.0,0.47005444646098005,0.0,0.5435466946484785,0.0,0.8449611363307656,0.0,0.4143358933447159,0.0,0.47005444646098005,0.0,0.9080976863753213,0.0,0.6442786069651741,0.0,0.8287390029325513,0.0,0.09190231362467867,0.0,0.52994555353902,0.0,0.35572139303482586,0.0,0.17126099706744868,0.0,0.4229333494203956,0.0
AdaBoostClassifier,skb_grid,0.7878500237304225,0.0,0.6181818181818182,0.0,0.49364791288566245,0.0,0.5489404641775983,0.0,0.8401574141896713,0.0,0.4125160542604373,0.0,0.49364791288566245,0.0,0.8920308483290489,0.0,0.6181818181818182,0.0,0.832633473305339,0.0,0.10796915167095116,0.0,0.5063520871143375,0.0,0.38181818181818183,0.0,0.16736652669466107,0.0,0.4169770774963723,0.0
DecisionTreeClassifier,pfs_bayes,0.7808732795443759,0.008963414712169798,0.6079643672204327,0.026194039588985644,0.47005444646098005,0.10366915142176258,0.5233311343949334,0.058412285636326895,0.8193116978244743,0.005050970214611629,0.38599103161599296,0.05328118121789036,0.47005444646098005,0.10366915142176258,0.8909383033419023,0.03363536253236407,0.6079643672204327,0.026194039588985644,0.8273697608101941,0.023904726143621123,0.10906169665809769,0.03363536253236405,0.52994555353902,0.1036691514217626,0.3920356327795673,0.02619403958898561,0.17263023918980594,0.02390472614362112,0.3950597155915551,0.046812670567739155
DecisionTreeClassifier,skb_grid,0.7740863787375416,0.008598435843506537,0.5919918981494247,0.026364155937858222,0.4493647912885662,0.05800181762993225,0.5080601197291619,0.03513440018826392,0.8136039754780977,0.012451424600609653,0.3657518110851047,0.03126072721896912,0.4493647912885662,0.05800181762993225,0.8890745501285346,0.023795704954147977,0.5919918981494247,0.026364155937858222,0.8205243698843763,0.0120487328376624,0.11092544987146531,0.023795704954147987,0.5506352087114338,0.058001817629932256,0.40800810185057534,0.026364155937858215,0.17947563011562376,0.012048732837662396,0.3730416633923277,0.026831127692422466
ExtraTreesClassifier,pfs_bayes,0.794874228761272,0.0034718219836976307,0.6447308169566555,0.009530771377084944,0.48039927404718696,0.01008852421755885,0.5505101569841193,0.008497895514861785,0.8307167034464097,0.0008757610512314299,0.42128762523035534,0.010195208945593033,0.48039927404718696,0.01008852421755885,0.9062339331619537,0.003716038856342001,0.6447308169566555,0.009530771377084944,0.8312382101969025,0.00268267961115101,0.09376606683804627,0.003716038856341983,0.519600725952813,0.010088524217558854,0.3552691830433445,0.009530771377084931,0.16876178980309747,0.00268267961115101,0.42896946082573184,0.010132086476072624
ExtraTreesClassifier,skb_grid,0.7888941623160892,0.0013198325337518708,0.628830591377439,0.0025946703097671385,0.4704174228675136,0.009747191318147769,0.5381567115771785,0.0064324761642026666,0.8337621128212784,0.0010130207058222354,0.405010087973454,0.006386690954388564,0.4704174228675136,0.009747191318147769,0.9016709511568124,0.0023072685548990723,0.628830591377439,0.0025946703097671385,0.8278365877378506,0.00231235566761787,0.09832904884318766,0.0023072685548991053,0.5295825771324865,0.009747191318147781,0.3711694086225611,0.002594670309767126,0.1721634122621494,0.0023123556676178606,0.4122023875122006,0.005621933169831091
RandomForestClassifier,pfs_bayes,0.7952064546748933,0.0018618260237209159,0.6348906214505151,0.006539759504965239,0.5107078039927405,0.0073197742104073515,0.5660093196901016,0.0037885942841666396,0.8364297911252734,0.0010042245297181254,0.4340555760966363,0.004261633788880961,0.5107078039927405,0.0073197742104073515,0.8959511568123393,0.003943709685516703,0.6348906214505151,0.006539759504965239,0.8379582408593265,0.0016120088266418707,0.10404884318766068,0.003943709685516699,0.4892921960072595,0.007319774210407334,0.3651093785494849,0.006539759504965246,0.1620417591406734,0.0016120088266418676,0.4384943376141172,0.004293667341792547
RandomForestClassifier,skb_grid,0.7853820598006644,0.0024792960638075874,0.6270033856434817,0.006755080419256121,0.44283121597096187,0.015039083962076287,0.5189181432606971,0.010331083530973418,0.8385330014603035,0.0010429725920292092,0.3860678457431844,0.010326500711514575,0.44283121597096187,0.015039083962076287,0.9066838046272494,0.004260860288072618,0.6270033856434817,0.006755080419256121,0.8213063867333228,0.003480492652442338,0.09331619537275064,0.004260860288072605,0.5571687840290381,0.015039083962076297,0.3729966143565183,0.006755080419256148,0.17869361326667726,0.003480492652442328,0.3958079832400616,0.009251305455100558
XGBClassifier,pfs_bayes,0.7921214997626957,0.0,0.6401985111662531,0.0,0.46823956442831216,0.0,0.5408805031446541,0.0,0.8364203434745894,0.0,0.4106752866590206,0.0,0.46823956442831216,0.0,0.9068123393316195,0.0,0.6401985111662531,0.0,0.8280516431924883,0.0,0.09318766066838047,0.0,0.5317604355716878,0.0,0.3598014888337469,0.0,0.17194835680751175,0.0,0.41906814699775,0.0
