model_name,hpo_type,accuracy,accuracy,precision,precision,recall,recall,f1,f1,roc_auc,roc_auc,cohen_kappa,cohen_kappa,TPR,TPR,TNR,TNR,PPV,PPV,NPV,NPV,FPR,FPR,FNR,FNR,FDR,FDR,FOR,FOR,MCC,MCC
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
AdaBoostClassifier,pfs_bayes,0.7437828371278459,0.003404942573594327,0.4318883205151655,0.0033747490426354787,0.8206540447504302,0.009243894003957677,0.565905322545978,0.002419631289990666,0.8535198464419306,0.0006814422088103527,0.4080548836443718,0.003725493094141397,0.8206540447504302,0.009243894003957677,0.7241424802110819,0.006156726833673307,0.4318883205151655,0.0033747490426354787,0.9405094261119029,0.0025104621232553545,0.2758575197889182,0.0061567268336732905,0.1793459552495697,0.009243894003957696,0.5681116794848344,0.0033747490426354943,0.05949057388809721,0.0025104621232553506,0.45042122403101786,0.003644734699558691
AdaBoostClassifier,skb_grid,0.7330998248686516,0.004362298118451679,0.4212260240143559,0.00449252540742156,0.8323580034423408,0.0063473627933169526,0.5593532360041497,0.004136310878338889,0.8540155722778033,0.0013078698637890305,0.396165746569242,0.00631106521156518,0.8323580034423408,0.0063473627933169526,0.7077396657871592,0.005980219688875775,0.4212260240143559,0.00449252540742156,0.9429409501765182,0.0019026849294477347,0.2922603342128408,0.005980219688875785,0.1676419965576592,0.006347362793316965,0.5787739759856441,0.004492525407421565,0.05705904982348189,0.0019026849294477622,0.44349173752402676,0.005766240158928088
DecisionTreeClassifier,pfs_bayes,0.7445884413309982,0.0048724438242212995,0.4229558436552449,0.005966921619255761,0.6993115318416523,0.008276346277389969,0.5270684363589433,0.005144017163143145,0.7277340420861736,0.003974681301162803,0.3663624438516362,0.007644873865883061,0.6993115318416523,0.008276346277389969,0.7561565523306948,0.006788148119916883,0.4229558436552449,0.005966921619255761,0.907777734448028,0.00206785598645772,0.24384344766930516,0.0067881481199169365,0.30068846815834765,0.008276346277389915,0.577044156344755,0.0059669216192557535,0.09222226555197208,0.002067855986457705,0.3881181874656076,0.007226712781902026
DecisionTreeClassifier,skb_grid,0.7538704028021016,0.006272321633646179,0.4350564028980085,0.008807947737318338,0.7005163511187608,0.013332128558373214,0.5367122924637678,0.00923971226010497,0.7340092749437251,0.007401693549325497,0.38138872857956746,0.01275013773042923,0.7005163511187608,0.013332128558373214,0.7675021987686895,0.007314702696490557,0.4350564028980085,0.008807947737318338,0.9093507097999736,0.0036975224767598048,0.23249780123131045,0.007314702696490553,0.29948364888123924,0.013332128558373214,0.5649435971019915,0.008807947737318318,0.09064929020002656,0.003697522476759809,0.4014785789588968,0.012933023188128723
ExtraTreesClassifier,pfs_bayes,0.770507880910683,0.004432972319938086,0.46118106814892457,0.006101235157501017,0.7571428571428571,0.010716503190982272,0.5731698494837214,0.005718392892904367,0.8449349603464744,0.00420241182610509,0.4286524130918171,0.008003859918513725,0.7571428571428571,0.010716503190982272,0.7739226033421284,0.006333573470189208,0.46118106814892457,0.006101235157501017,0.9257902345819407,0.002811280972065267,0.2260773966578716,0.006333573470189192,0.24285714285714283,0.010716503190982274,0.5388189318510754,0.006101235157501019,0.07420976541805943,0.0028112809720652688,0.45332440776977573,0.0080034112790004
ExtraTreesClassifier,skb_grid,0.7778633975481611,0.004784929745825196,0.4708694977004438,0.007013561995121083,0.7375215146299483,0.009152642646898364,0.5747288715324637,0.005963796465188221,0.8433892373110989,0.0032058093979663517,0.43416282778070087,0.008570197052932573,0.7375215146299483,0.009152642646898364,0.7881706244503078,0.0065194717291177495,0.4708694977004438,0.007013561995121083,0.9215939371014905,0.0023431448610043574,0.2118293755496922,0.006519471729117754,0.26247848537005164,0.00915264264689833,0.5291305022995563,0.007013561995121072,0.07840606289850949,0.0023431448610043825,0.4542136254710389,0.008152010377358456
RandomForestClassifier,pfs_bayes,0.7727495621716287,0.004764946060734491,0.46288106471804297,0.0066936504218362055,0.7247848537005164,0.011255805203040757,0.5648734453528623,0.004365702116559099,0.8405443485211105,0.0020411846900942826,0.421077800674178,0.006617825100697708,0.7247848537005164,0.011255805203040757,0.785004397537379,0.007976275662681855,0.46288106471804297,0.0066936504218362055,0.9178106588914178,0.0025231268887782304,0.21499560246262095,0.00797627566268185,0.2752151462994837,0.011255805203040762,0.537118935281957,0.006693650421836215,0.08218934110858225,0.002523126888778219,0.4405270696031998,0.005952645425653924
RandomForestClassifier,skb_grid,0.7808056042031524,0.006649458479907127,0.4756082208122419,0.009872863770799843,0.7457831325301205,0.009000329719459198,0.5807418386056908,0.007836561679088711,0.852107752532936,0.003014280113538619,0.44206311461284054,0.011609739986930814,0.7457831325301205,0.009000329719459198,0.7897537379067722,0.00875454847573293,0.4756082208122419,0.009872863770799843,0.924012292982223,0.0023691801919571917,0.2102462620932278,0.008754548475732947,0.25421686746987954,0.009000329719459191,0.5243917791877581,0.009872863770799833,0.07598770701777699,0.002369180191957187,0.46260536454888834,0.010529018652214051
XGBClassifier,pfs_bayes,0.7840280210157619,0.004318959836929306,0.4788081350176916,0.007130176046470066,0.6898450946643717,0.007858126755370703,0.5652435740021468,0.006405698519748056,0.8390099410079065,0.002885667368873803,0.42775332899052276,0.008927484244221922,0.6898450946643717,0.007858126755370703,0.8080914687774847,0.005129203682440464,0.4788081350176916,0.007130176046470066,0.9106967611300499,0.0020996051845982924,0.1919085312225154,0.005129203682440459,0.31015490533562823,0.0078581267553707,0.5211918649823084,0.007130176046470057,0.08930323886995008,0.002099605184598291,0.44039219548270625,0.008690033547375502
