model_name,hpo_type,accuracy,accuracy,precision,precision,recall,recall,f1,f1,roc_auc,roc_auc,cohen_kappa,cohen_kappa,TPR,TPR,TNR,TNR,PPV,PPV,NPV,NPV,FPR,FPR,FNR,FNR,FDR,FDR,FOR,FOR,MCC,MCC
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
AdaBoostClassifier,pfs_bayes,0.7935453251067869,0.0,0.6442786069651741,0.0,0.47005444646098005,0.0,0.5435466946484785,0.0,0.8449611363307656,0.0,0.4143358933447159,0.0,0.47005444646098005,0.0,0.9080976863753213,0.0,0.6442786069651741,0.0,0.8287390029325513,0.0,0.09190231362467867,0.0,0.52994555353902,0.0,0.35572139303482586,0.0,0.17126099706744868,0.0,0.4229333494203956,0.0
AdaBoostClassifier,skb_grid,0.7878500237304225,0.0,0.6181818181818182,0.0,0.49364791288566245,0.0,0.5489404641775983,0.0,0.8401574141896713,0.0,0.4125160542604373,0.0,0.49364791288566245,0.0,0.8920308483290489,0.0,0.6181818181818182,0.0,0.832633473305339,0.0,0.10796915167095116,0.0,0.5063520871143375,0.0,0.38181818181818183,0.0,0.16736652669466107,0.0,0.4169770774963723,0.0
DecisionTreeClassifier,pfs_bayes,0.7803512102515425,0.009051634638032567,0.6050926315081835,0.0274114572786143,0.4756805807622505,0.0936828049568683,0.5262284529251569,0.058981992740087974,0.8157778682367651,0.008543303101577904,0.38774205235455106,0.05178757578719774,0.4756805807622505,0.0936828049568683,0.8882390745501285,0.030695389349053123,0.6050926315081835,0.0274114572786143,0.8281461937155539,0.020397007671889726,0.11176092544987146,0.030695389349053102,0.5243194192377495,0.09368280495686833,0.3949073684918165,0.027411457278614285,0.17185380628444616,0.0203970076718897,0.3956329545876253,0.04267220314796233
DecisionTreeClassifier,skb_grid,0.7800664451827243,0.006772115417840334,0.603708375918435,0.022746790776865568,0.4727767695099819,0.07838035458037848,0.5261677000824492,0.04328831698198453,0.8205245545607658,0.010195148407061238,0.3868042868493352,0.039292581543238,0.4727767695099819,0.07838035458037848,0.8888817480719794,0.025689886516610673,0.603708375918435,0.022746790776865568,0.8271897412531646,0.017959384967593396,0.11111825192802056,0.02568988651661064,0.5272232304900182,0.07838035458037851,0.396291624081565,0.022746790776865592,0.17281025874683537,0.01795938496759338,0.3939224884075895,0.0344727771297436
ExtraTreesClassifier,pfs_bayes,0.7961082107261509,0.00219440479473498,0.6460159090323481,0.00617154559585857,0.48747731397459165,0.005751900459288424,0.5556399585907188,0.004950406122991512,0.8315882783814426,0.000948410450366522,0.42668459531809627,0.006122501142259515,0.48747731397459165,0.005751900459288424,0.9053984575835475,0.0024387745451169805,0.6460159090323481,0.00617154559585857,0.8330201777855658,0.0015594804485177063,0.09460154241645244,0.0024387745451170005,0.5125226860254084,0.005751900459288466,0.3539840909676519,0.00617154559585857,0.16697982221443425,0.0015594804485177247,0.4338177628053569,0.00617772435963793
ExtraTreesClassifier,skb_grid,0.7888941623160892,0.0014975047702830244,0.6283597424917087,0.004255681375550176,0.4718693284936479,0.008382581040865712,0.538937748250536,0.005478635286058282,0.8343561484377553,0.0013184314214207422,0.4056279330278868,0.005585523723600583,0.4718693284936479,0.008382581040865712,0.9011568123393315,0.002723264538486817,0.6283597424917087,0.004255681375550176,0.8281436517548014,0.001951954646906885,0.09884318766066838,0.002723264538486841,0.5281306715063521,0.008382581040865707,0.37164025750829127,0.004255681375550183,0.17185634824519855,0.0019519546469068754,0.41264867132840266,0.005087758198844142
RandomForestClassifier,pfs_bayes,0.7951589938300903,0.0016921046615561918,0.6343623002702282,0.004188442880240845,0.5116152450090744,0.008659605859541092,0.566373965055406,0.005556498088054086,0.8365324905873406,0.0007123022928068285,0.4342984587891066,0.006015566970432783,0.5116152450090744,0.008659605859541092,0.8955655526992288,0.0025572700056370134,0.6343623002702282,0.004188442880240845,0.8381533310489246,0.0021665311327933212,0.1044344473007712,0.002557270005636957,0.4883847549909256,0.008659605859541113,0.36563769972977184,0.004188442880240855,0.16184666895107547,0.0021665311327932956,0.4386248349677607,0.005654902561893944
RandomForestClassifier,skb_grid,0.7869482676791647,0.0029970979652956015,0.6270877991900778,0.006532545535842442,0.45771324863883844,0.02878239898021115,0.5286484550021744,0.018688593163693926,0.8390698846220239,0.0006577216775371942,0.3954811579292642,0.01754406319893449,0.45771324863883844,0.02878239898021115,0.9035347043701799,0.00739896838988383,0.6270877991900778,0.006532545535842442,0.8248112570238126,0.006553093398040807,0.09646529562982005,0.007398968389883825,0.5422867513611616,0.02878239898021118,0.3729122008099222,0.006532545535842455,0.1751887429761875,0.006553093398040815,0.403916821761875,0.01474428487357554
XGBClassifier,pfs_bayes,0.7930707166587565,0.0,0.6412776412776413,0.0,0.47368421052631576,0.0,0.5448851774530271,0.0,0.8366874437223277,0.0,0.41486835601710065,0.0,0.47368421052631576,0.0,0.9061696658097687,0.0,0.6412776412776413,0.0,0.8294117647058824,0.0,0.09383033419023136,0.0,0.5263157894736842,0.0,0.35872235872235875,0.0,0.17058823529411765,0.0,0.4228394440129379,0.0
